"date","value"
"1982-01-01","0"
"1982-01-01","0"
"1982-01-02","0"
"1982-01-02","0"
"1982-01-03","0"
"1982-01-03","0"
"1982-01-04","0"
"1982-01-04","0"
"1982-01-05","0"
"1982-01-05","0.4"
"1982-01-06","0"
"1982-01-06","0"
"1982-01-07","0"
"1982-01-07","0"
"1982-01-08","0"
"1982-01-08","0"
"1982-01-09","0"
"1982-01-09","0"
"1982-01-10","0"
"1982-01-10","1.2"
"1982-01-11","1.4"
"1982-01-11","2.4"
"1982-01-12","0.3"
"1982-01-12","0.8"
"1982-01-13","0"
"1982-01-13","0.4"
"1982-01-14","0.6"
"1982-01-14","1.1"
"1982-01-15","0"
"1982-01-15","0.3"
"1982-01-16","0"
"1982-01-16","0.4"
"1982-01-17","0"
"1982-01-17","0.4"
"1982-01-18","0.9"
"1982-01-18","1.4"
"1982-01-19","1.4"
"1982-01-19","0.8"
"1982-01-20","0"
"1982-01-20","0.8"
"1982-01-21","0"
"1982-01-21","6.2"
"1982-01-22","0"
"1982-01-22","1.4"
"1982-01-23","5.4"
"1982-01-23","6.7"
"1982-01-24","1.4"
"1982-01-24","1.9"
"1982-01-25","0"
"1982-01-25","0.7"
"1982-01-26","11.1"
"1982-01-26","2.5"
"1982-01-27","3.8"
"1982-01-27","0"
"1982-01-28","3.6"
"1982-01-28","2.9"
"1982-01-29","0"
"1982-01-29","0.9"
"1982-01-30","3.2"
"1982-01-30","0"
"1982-01-31","1.4"
"1982-01-31","11.2"
"1982-02-01","0"
"1982-02-01","0"
"1982-02-02","5"
"1982-02-02","0"
"1982-02-03","0"
"1982-02-03","0"
"1982-02-04","0.1"
"1982-02-04","0.1"
"1982-02-05","0.1"
"1982-02-05","0"
"1982-02-06","0.2"
"1982-02-06","0.2"
"1982-02-07","0.2"
"1982-02-07","0.3"
"1982-02-08","0.2"
"1982-02-08","0"
"1982-02-09","0.1"
"1982-02-09","0.1"
"1982-02-10","0"
"1982-02-10","3.9"
"1982-02-11","0"
"1982-02-11","0.2"
"1982-02-12","0.3"
"1982-02-12","13"
"1982-02-13","0"
"1982-02-13","0"
"1982-02-14","0"
"1982-02-14","0.2"
"1982-02-15","0"
"1982-02-15","0.2"
"1982-02-16","0"
"1982-02-16","0"
"1982-02-17","0"
"1982-02-17","0"
"1982-02-18","0"
"1982-02-18","0"
"1982-02-19","0"
"1982-02-19","0.4"
"1982-02-20","2"
"1982-02-20","0.5"
"1982-02-21","1.4"
"1982-02-21","1.1"
"1982-02-22","1.2"
"1982-02-22","0.9"
"1982-02-23","5"
"1982-02-23","0"
"1982-02-24","0"
"1982-02-24","0.5"
"1982-02-25","0"
"1982-02-25","0.2"
"1982-02-26","0"
"1982-02-26","0"
"1982-02-27","0.3"
"1982-02-27","0"
"1982-02-28","1.1"
"1982-02-28","1.3"
"1982-03-01","0"
"1982-03-01","0"
"1982-03-02","0.4"
"1982-03-02","0.8"
"1982-03-03","4.9"
"1982-03-03","0.2"
"1982-03-04","0"
"1982-03-04","0"
"1982-03-05","0"
"1982-03-05","0"
"1982-03-06","0"
"1982-03-06","0"
"1982-03-07","0"
"1982-03-07","0"
"1982-03-08","0"
"1982-03-08","0"
"1982-03-09","0"
"1982-03-09","0"
"1982-03-10","0"
"1982-03-10","0"
"1982-03-11","4.4"
"1982-03-11","8.8"
"1982-03-12","8.5"
"1982-03-12","2.4"
"1982-03-13","5.8"
"1982-03-13","9.1"
"1982-03-14","0"
"1982-03-14","0"
"1982-03-15","0"
"1982-03-15","2.4"
