"date","value"
"1963-09-01","0"
"1963-09-02","11.2"
"1963-09-03","0"
"1963-09-04","2.4"
"1963-09-05","3.1"
"1963-09-06","16.7"
"1963-09-07","2.1"
"1963-09-08","1.6"
"1963-09-09","0"
"1963-09-10","0.1"
"1963-09-11","0.9"
"1963-09-12","3"
"1963-09-13","0"
"1963-09-14","1"
"1963-09-15","0"
"1963-09-16","2.5"
"1963-09-17","1.3"
"1963-09-18","0"
"1963-09-19","0"
"1963-09-20","1.6"
"1963-09-21","0"
"1963-09-22","0"
"1963-09-23","0"
"1963-09-24","4.7"
"1963-09-25","2.5"
"1963-09-26","1"
"1963-09-27","7.2"
"1963-09-28","0.4"
"1963-09-29","2.4"
"1963-09-30","2.9"
"1963-10-01","0"
"1963-10-02","2.5"
"1963-10-03","0.9"
"1963-10-04","0.6"
"1963-10-05","0"
"1963-10-06","0"
"1963-10-07","4.2"
"1963-10-08","0.1"
"1963-10-09","0"
"1963-10-10","0"
"1963-10-11","0"
"1963-10-12","0"
"1963-10-13","11.5"
"1963-10-14","7.4"
"1963-10-15","0"
"1963-10-16","1.7"
"1963-10-17","1"
"1963-10-18","0.9"
"1963-10-19","0"
"1963-10-20","0"
"1963-10-21","7.8"
"1963-10-22","0.2"
"1963-10-23","0"
"1963-10-24","0.2"
"1963-10-25","0.3"
"1963-10-26","0.6"
"1963-10-27","0.8"
"1963-10-28","0.2"
"1963-10-29","0"
"1963-10-30","0"
"1963-10-31","0"
"1963-11-01","0"
"1963-11-02","12"
"1963-11-03","1"
"1963-11-04","1.1"
"1963-11-05","0.1"
"1963-11-06","0.2"
"1963-11-07","0"
"1963-11-08","10.6"
"1963-11-09","7.7"
"1963-11-10","0.4"
"1963-11-11","0"
"1963-11-12","0"
"1963-11-13","1.2"
"1963-11-14","0"
"1963-11-15","1.7"
"1963-11-16","0"
"1963-11-17","0.7"
"1963-11-18","0"
"1963-11-19","0"
"1963-11-20","7.1"
"1963-11-21","3.1"
"1963-11-22","5.2"
"1963-11-23","9.5"
"1963-11-24","1.2"
"1963-11-25","0.3"
"1963-11-26","5"
"1963-11-27","0"
"1963-11-28","2.7"
"1963-11-29","9.4"
"1963-11-30","28"
"1963-12-01","8"
"1963-12-02","3.7"
"1963-12-03","1.5"
"1963-12-04","3.6"
"1963-12-05","0.9"
"1963-12-06","16.9"
"1963-12-07","0"
"1963-12-08","0"
"1963-12-09","3.7"
"1963-12-10","1.7"
"1963-12-11","7"
"1963-12-12","13.6"
"1963-12-13","0.8"
"1963-12-14","33.4"
"1963-12-15","1.4"
"1963-12-16","0.3"
"1963-12-17","1.1"
"1963-12-18","1.3"
"1963-12-19","0.4"
"1963-12-20","0"
"1963-12-21","0"
"1963-12-22","3.7"
"1963-12-23","0"
"1963-12-24","0"
"1963-12-25","0"
"1963-12-26","9"
"1963-12-27","0.1"
"1963-12-28","3.6"
"1963-12-29","0.3"
"1963-12-30","1.3"
"1963-12-31","0"
"1964-01-01","12.7"
"1964-01-02","13"
"1964-01-03","1.6"
"1964-01-04","2"
"1964-01-05","1.3"
"1964-01-06","9"
"1964-01-07","1.8"
"1964-01-08","0"
"1964-01-09","0"
"1964-01-10","0"
"1964-01-11","0"
"1964-01-12","0"
"1964-01-13","0"
"1964-01-14","0"
"1964-01-15","1.4"
"1964-01-16","0"
"1964-01-17","0"
"1964-01-18","1.2"
"1964-01-19","1.3"
"1964-01-20","0"
"1964-01-21","0"
"1964-01-22","0"
"1964-01-23","1.8"
"1964-01-24","1.5"
"1964-01-25","1.8"
"1964-01-26","0"
"1964-01-27","1.6"
"1964-01-28","1.2"
"1964-01-29","1.4"
"1964-01-30","1.3"
"1964-01-31","0"
"1964-02-01","9.2"
"1964-02-02","12"
"1964-02-03","11.3"
"1964-02-04","11.1"
"1964-02-05","7.5"
"1964-02-06","1.1"
"1964-02-07","0"
"1964-02-08","12.2"
"1964-02-09","1.2"
"1964-02-10","2.1"
"1964-02-11","0"
"1964-02-12","0"
"1964-02-13","0"
"1964-02-14","6.1"
"1964-02-15","16.1"
"1964-02-16","3.1"
"1964-02-17","0"
"1964-02-18","10.5"
"1964-02-19","8.5"
"1964-02-20","13.3"
"1964-02-21","4.4"
"1964-02-22","0"
"1964-02-23","0"
"1964-02-24","3.3"
"1964-02-25","0"
"1964-02-26","1.2"
"1964-02-27","0"
"1964-02-28","3.8"
"1964-02-29","0"
"1964-03-01","1.6"
"1964-03-02","1.1"
"1964-03-03","10.6"
"1964-03-04","1.2"
"1964-03-05","10.1"
"1964-03-06","0"
"1964-03-07","10.4"
"1964-03-08","10"
"1964-03-09","8"
"1964-03-10","9"
"1964-03-11","0"
"1964-03-12","1"
"1964-03-13","10.2"
"1964-03-14","1.1"
"1964-03-15","3"
"1964-03-16","0"
"1964-03-17","9"
"1964-03-18","5"
"1964-03-19","8"
"1964-03-20","20.2"
"1964-03-21","2"
"1964-03-22","3"
"1964-03-23","10.6"
"1964-03-24","11.4"
"1964-03-25","8"
"1964-03-26","11.1"
"1964-03-27","0"
"1964-03-28","5.5"
"1964-03-29","8.5"
"1964-03-30","1"
"1964-03-31","16"
"1964-04-01","11"
"1964-04-02","2"
"1964-04-03","0"
"1964-04-04","0"
"1964-04-05","0"
"1964-04-06","1"
"1964-04-07","9"
"1964-04-08","8"
"1964-04-09","7"
"1964-04-10","7"
"1964-04-11","2"
"1964-04-12","3"
"1964-04-13","2"
"1964-04-14","8"
"1964-04-15","1"
"1964-04-16","1"
"1964-04-17","0"
"1964-04-18","6"
"1964-04-19","1"
"1964-04-20","1"
"1964-04-21","6.5"
"1964-04-22","5"
"1964-04-23","10"
"1964-04-24","2"
"1964-04-25","8"
"1964-04-26","6"
"1964-04-27","0"
"1964-04-28","0"
"1964-04-29","0"
"1964-04-30","1"
"1964-05-01","0"
"1964-05-02","0"
"1964-05-03","0"
"1964-05-04","0"
"1964-05-05","0"
"1964-05-06","0"
"1964-05-07","0"
"1964-05-08","0"
"1964-05-09","0"
"1964-05-10","0"
"1964-05-11","0"
"1964-05-12","0"
"1964-05-13","0"
"1964-05-14","0"
"1964-05-15","0"
"1964-05-16","0"
"1964-05-17","0.5"
"1964-05-18","0.6"
"1964-05-19","0"
"1964-05-20","26"
"1964-05-21","16"
"1964-05-22","0"
"1964-05-23","2"
"1964-05-24","0"
"1964-05-25","0"
"1964-05-26","0"
"1964-05-27","2"
"1964-05-28","0"
"1964-05-29","0"
"1964-05-30","0"
"1964-05-31","0"
"1964-06-01","0"
"1964-06-02","0"
"1964-06-03","0"
"1964-06-04","0"
"1964-06-05","0"
"1964-06-06","0"
"1964-06-07","0"
"1964-06-08","0"
"1964-06-09","0"
"1964-06-10","0"
"1964-06-11","0"
"1964-06-12","0"
"1964-06-13","0"
"1964-06-14","0"
"1964-06-15","0"
"1964-06-16","0"
"1964-06-17","0"
"1964-06-18","0"
"1964-06-19","0"
"1964-06-20","0"
"1964-06-21","0"
"1964-06-22","0"
"1964-06-23","0"
"1964-06-24","0"
"1964-06-25","0"
"1964-06-26","0"
"1964-06-27","0"
"1964-06-28","0"
"1964-06-29","0"
"1964-06-30","0"
"1964-07-01","0"
"1964-07-02","0"
"1964-07-03","0"
"1964-07-04","0"
"1964-07-05","0"
"1964-07-06","0"
"1964-07-07","0"
"1964-07-08","0"
"1964-07-09","0"
"1964-07-10","0"
"1964-07-11","0"
"1964-07-12","0"
"1964-07-13","0"
"1964-07-14","0"
"1964-07-15","0"
"1964-07-16","0"
"1964-07-17","0"
"1964-07-18","0"
"1964-07-19","0"
"1964-07-20","0.2"
"1964-07-21","0.1"
"1964-07-22","0"
"1964-07-23","0"
"1964-07-24","0"
"1964-07-25","0"
"1964-07-26","0"
"1964-07-27","5.6"
"1964-07-28","1"
"1964-07-29","0"
"1964-07-30","2.1"
"1964-07-31","2.9"
"1964-08-01","0"
"1964-08-01","0"
"1964-08-02","0"
"1964-08-02","0"
"1964-08-03","0"
"1964-08-03","0"
"1964-08-04","0"
"1964-08-04","3.8"
"1964-08-05","0"
"1964-08-05","0"
"1964-08-06","0"
"1964-08-06","0"
"1964-08-07","0"
"1964-08-07","0"
"1964-08-08","0"
"1964-08-08","0"
"1964-08-09","0"
"1964-08-09","0"
"1964-08-10","0"
"1964-08-10","0"
"1964-08-11","0"
"1964-08-11","0"
"1964-08-12","0"
"1964-08-12","0"
"1964-08-13","0"
"1964-08-13","0"
"1964-08-14","0"
"1964-08-14","0"
"1964-08-15","0"
"1964-08-15","0"
"1964-08-16","0"
"1964-08-16","0"
"1964-08-17","0"
"1964-08-17","0"
"1964-08-18","0"
"1964-08-18","0"
"1964-08-19","0"
"1964-08-19","0.2"
"1964-08-20","0"
"1964-08-20","3.2"
"1964-08-21","0"
"1964-08-21","1.2"
"1964-08-22","0"
"1964-08-22","8.8"
"1964-08-23","0"
"1964-08-23","2.5"
"1964-08-24","0"
"1964-08-24","2"
"1964-08-25","0"
"1964-08-25","0"
"1964-08-26","0"
"1964-08-26","0"
"1964-08-27","0"
"1964-08-27","2.4"
"1964-08-28","0"
"1964-08-28","0"
"1964-08-29","0"
"1964-08-29","0"
"1964-08-30","0"
"1964-08-30","0"
"1964-08-31","0"
"1964-08-31","0"
"1964-09-01","0"
"1964-09-02","0"
"1964-09-03","0"
"1964-09-04","0"
"1964-09-05","0"
"1964-09-06","0"
"1964-09-07","3.2"
"1964-09-08","0"
"1964-09-09","0"
"1964-09-10","0"
"1964-09-11","0"
"1964-09-12","0"
"1964-09-13","0"
"1964-09-14","0"
"1964-09-15","20.8"
"1964-09-16","4.8"
"1964-09-17","3.5"
"1964-09-18","0"
"1964-09-19","0"
"1964-09-20","3.6"
"1964-09-21","0"
"1964-09-22","0"
"1964-09-23","0"
"1964-09-24","4.7"
"1964-09-25","0"
"1964-09-26","0"
"1964-09-27","0"
"1964-09-28","2"
"1964-09-29","0"
"1964-09-30","2.4"
"1964-10-01","0"
"1964-10-02","6.5"
"1964-10-03","1"
"1964-10-04","0.6"
"1964-10-05","0"
"1964-10-06","0"
"1964-10-07","4.2"
"1964-10-08","0"
"1964-10-09","0"
"1964-10-10","0"
"1964-10-11","0"
"1964-10-12","0"
"1964-10-13","0"
"1964-10-14","0"
"1964-10-15","0"
"1964-10-16","0"
"1964-10-17","0"
"1964-10-18","0"
"1964-10-19","0"
"1964-10-20","0"
"1964-10-21","0"
"1964-10-22","0"
"1964-10-23","0"
"1964-10-24","1.2"
"1964-10-25","0"
"1964-10-26","0"
"1964-10-27","0"
"1964-10-28","2.7"
"1964-10-29","0"
"1964-10-30","28"
"1964-10-31","0"
"1964-11-01","0"
"1964-11-02","20"
"1964-11-03","0"
"1964-11-04","3.4"
"1964-11-05","0"
"1964-11-06","0"
"1964-11-07","0"
"1964-11-08","0"
"1964-11-09","6.4"
"1964-11-10","0"
"1964-11-11","2.6"
"1964-11-12","8.6"
"1964-11-13","2.4"
"1964-11-14","2"
"1964-11-15","2.2"
"1964-11-16","0"
"1964-11-17","0"
"1964-11-18","6"
"1964-11-19","4.2"
"1964-11-20","0"
"1964-11-21","0"
"1964-11-22","0"
"1964-11-23","0"
"1964-11-24","0"
"1964-11-25","4"
"1964-11-26","4.2"
"1964-11-27","20"
"1964-11-28","0.1"
"1964-11-29","1.2"
"1964-11-30","0"
"1964-12-01","0"
"1964-12-02","0"
"1964-12-03","2"
"1964-12-04","0"
"1964-12-05","0"
"1964-12-06","0"
"1964-12-07","0"
"1964-12-08","0"
"1964-12-09","0"
"1964-12-10","0"
"1964-12-11","0"
"1964-12-12","0"
"1964-12-13","6.4"
"1964-12-14","3.4"
"1964-12-15","0"
"1964-12-16","3"
"1964-12-17","0"
"1964-12-18","13"
"1964-12-19","0"
"1964-12-20","8.5"
"1964-12-21","4.2"
"1964-12-22","2.4"
"1964-12-23","7.4"
"1964-12-24","0"
"1964-12-25","0"
"1964-12-26","3.6"
"1964-12-27","5.7"
"1964-12-28","11"
"1964-12-29","10.8"
"1964-12-30","9.3"
"1964-12-31","4.1"
"1965-01-01","2.5"
"1965-01-02","0"
"1965-01-03","3.8"
"1965-01-04","0"
"1965-01-05","1.5"
"1965-01-06","1.4"
"1965-01-07","0.4"
"1965-01-08","9.2"
"1965-01-09","11.1"
"1965-01-10","21.2"
"1965-01-11","0"
"1965-01-12","0"
"1965-01-13","7.6"
"1965-01-14","0"
"1965-01-15","3"
"1965-01-16","2.2"
"1965-01-17","0"
"1965-01-18","0"
"1965-01-19","0"
"1965-01-20","2.2"
"1965-01-21","0"
"1965-01-22","0"
"1965-01-23","2.8"
"1965-01-24","5.3"
