"date","value"
"2010-01-01","2.1"
"2010-01-02","2.2"
"2010-01-02","0"
"2010-01-03","0"
"2010-01-03","0.9"
"2010-01-04","1"
"2010-01-04","2"
"2010-01-05","12.3"
"2010-01-05","1.1"
"2010-01-06","4.1"
"2010-01-06","0"
"2010-01-07","0"
"2010-01-07","0"
"2010-01-08","0"
"2010-01-08","0"
"2010-01-09","5.4"
"2010-01-09","0"
"2010-01-10","16.2"
"2010-01-10","0"
"2010-01-11","11.6"
"2010-01-11","3.3"
"2010-01-12","3.2"
"2010-01-12","0"
"2010-01-13","0"
"2010-01-13","0"
"2010-01-14","4"
"2010-01-14","0"
"2010-01-15","0"
"2010-01-15","0"
"2010-01-16","12.2"
"2010-01-16","0"
"2010-01-17","9.2"
"2010-01-17","0"
"2010-01-18","0"
"2010-01-18","3"
"2010-01-19","0.4"
"2010-01-19","3.2"
"2010-01-20","0"
"2010-01-20","0"
"2010-01-21","0"
"2010-01-21","0"
"2010-01-22","2.8"
"2010-01-22","0"
"2010-01-23","2.2"
"2010-01-23","0"
"2010-01-24","3.6"
"2010-01-24","0"
"2010-01-25","9.7"
"2010-01-25","1.2"
"2010-01-26","0.6"
"2010-01-26","0"
"2010-01-27","1.6"
"2010-01-27","0"
"2010-01-28","0.5"
"2010-01-28","0"
"2010-01-29","0"
"2010-01-29","0"
"2010-01-30","1.6"
"2010-01-30","0"
"2010-01-31","0"
"2010-01-31","0"
"2010-02-01","0"
"2010-02-01","0"
"2010-02-02","1.6"
"2010-02-02","0"
"2010-02-03","0"
"2010-02-03","0"
"2010-02-04","0"
"2010-02-04","0"
"2010-02-05","12"
"2010-02-05","0"
"2010-02-06","3.3"
"2010-02-06","0"
"2010-02-07","0.6"
"2010-02-07","0"
"2010-02-08","0"
"2010-02-08","0"
"2010-02-09","0"
"2010-02-09","0.8"
"2010-02-10","1.1"
"2010-02-10","0"
"2010-02-11","0"
"2010-02-11","0"
"2010-02-12","0"
"2010-02-12","0.6"
"2010-02-13","0"
"2010-02-13","0.4"
"2010-02-14","0"
"2010-02-14","0"
"2010-02-15","2"
"2010-02-15","0"
"2010-02-16","5"
"2010-02-16","0"
"2010-02-17","0"
"2010-02-17","2.8"
"2010-02-18","8.6"
"2010-02-18","1.2"
"2010-02-19","0"
"2010-02-19","0"
"2010-02-20","0"
"2010-02-20","0"
"2010-02-21","0"
"2010-02-21","1.3"
"2010-02-22","8.2"
"2010-02-22","0"
"2010-02-23","5.1"
"2010-02-23","0"
"2010-02-24","0"
"2010-02-24","0"
"2010-02-25","4.6"
"2010-02-25","5.7"
"2010-02-26","7"
"2010-02-26","0"
"2010-02-27","24.5"
"2010-02-27","2.3"
"2010-02-28","2.2"
"2010-02-28","0"
"2010-03-01","2.7"
"2010-03-01","0.4"
"2010-03-02","0"
"2010-03-02","0"
