"date","value"
"1977-10-01","8.4"
"1977-10-01","0"
"1977-10-02","6"
"1977-10-02","0"
"1977-10-03","8.2"
"1977-10-03","0"
"1977-10-04","1"
"1977-10-04","0"
"1977-10-05","21.6"
"1977-10-05","0"
"1977-10-06","4"
"1977-10-06","0"
"1977-10-07","0"
"1977-10-07","0"
"1977-10-08","0"
"1977-10-08","0"
"1977-10-09","0"
"1977-10-09","0"
"1977-10-10","4.2"
"1977-10-10","0"
"1977-10-11","0"
"1977-10-11","0"
"1977-10-12","0.2"
"1977-10-12","0"
"1977-10-13","0"
"1977-10-13","0"
"1977-10-14","1.3"
"1977-10-14","0"
"1977-10-15","0"
"1977-10-15","0"
"1977-10-16","0"
"1977-10-16","0"
"1977-10-17","7.7"
"1977-10-17","0"
"1977-10-18","0.2"
"1977-10-18","0"
"1977-10-19","0"
"1977-10-19","0"
"1977-10-20","0"
"1977-10-20","0"
"1977-10-21","7"
"1977-10-21","0"
"1977-10-22","0"
"1977-10-22","0"
"1977-10-23","2.8"
"1977-10-23","0"
"1977-10-24","0.8"
"1977-10-24","0"
"1977-10-25","0"
"1977-10-25","0"
"1977-10-26","0"
"1977-10-26","0"
"1977-10-27","1.5"
"1977-10-27","0"
"1977-10-28","0"
"1977-10-28","0"
"1977-10-29","1.1"
"1977-10-29","0"
"1977-10-30","3.6"
"1977-10-30","0"
"1977-10-31","0.6"
"1977-10-31","0"
"1977-11-01","3.7"
"1977-11-01","0"
"1977-11-02","2"
"1977-11-02","0"
"1977-11-03","4.7"
"1977-11-03","2.6"
"1977-11-04","0"
"1977-11-04","0"
"1977-11-05","6.2"
"1977-11-05","0"
"1977-11-06","0.2"
"1977-11-06","0"
"1977-11-07","0"
"1977-11-07","1.6"
"1977-11-08","0.5"
"1977-11-08","0"
"1977-11-09","2.2"
"1977-11-09","0"
"1977-11-10","7.6"
"1977-11-10","0"
"1977-11-11","0"
"1977-11-11","0"
"1977-11-12","3.2"
"1977-11-12","0"
"1977-11-13","6"
"1977-11-13","0"
"1977-11-14","0"
"1977-11-14","0"
"1977-11-15","0"
"1977-11-15","0"
"1977-11-16","5.8"
"1977-11-16","0.3"
"1977-11-17","1.3"
"1977-11-17","2.4"
"1977-11-18","2.6"
"1977-11-18","1"
"1977-11-19","6.6"
"1977-11-19","2.4"
"1977-11-20","6.7"
"1977-11-20","2.6"
"1977-11-21","6.3"
"1977-11-21","1.4"
"1977-11-22","3.6"
"1977-11-22","2.6"
"1977-11-23","0"
"1977-11-23","0"
"1977-11-24","0.5"
"1977-11-24","0"
"1977-11-25","0.1"
"1977-11-25","5.2"
"1977-11-26","11.6"
"1977-11-26","0"
"1977-11-27","0"
"1977-11-27","0"
"1977-11-28","0"
"1977-11-28","2.1"
"1977-11-29","3.4"
"1977-11-29","1.4"
"1977-11-30","0"
"1977-11-30","0"
"1977-12-01","0"
"1977-12-02","0.2"
"1977-12-02","0"
"1977-12-03","1.1"
"1977-12-03","0"
"1977-12-04","0"
"1977-12-04","0"
"1977-12-05","0"
"1977-12-05","0"
"1977-12-06","0.4"
"1977-12-06","0"
"1977-12-07","2.5"
"1977-12-07","0"
"1977-12-08","5.5"
"1977-12-08","0"
"1977-12-09","12.7"
"1977-12-09","0"
"1977-12-10","14.1"
"1977-12-10","0"
"1977-12-11","0"
"1977-12-11","0"
"1977-12-12","0"
"1977-12-12","0"
"1977-12-13","3.1"
"1977-12-13","0"
"1977-12-14","3.4"
"1977-12-14","0"
"1977-12-15","0.3"
"1977-12-15","0"
"1977-12-16","0"
"1977-12-16","0"
"1977-12-17","0"
"1977-12-17","0"
"1977-12-18","0"
"1977-12-18","0"
"1977-12-19","6.2"
"1977-12-19","0"
"1977-12-20","4.5"
"1977-12-20","0"
"1977-12-21","4.6"
"1977-12-21","0"
"1977-12-22","5.8"
"1977-12-22","0"
"1977-12-23","1.5"
"1977-12-23","0"
"1977-12-24","2.4"
"1977-12-24","0"
"1977-12-25","3.4"
"1977-12-25","0"
"1977-12-26","4.6"
"1977-12-26","0"
"1977-12-27","6.2"
"1977-12-27","0"
"1977-12-28","1.6"
"1977-12-28","0"
"1977-12-29","0"
"1977-12-29","0"
"1977-12-30","0"
"1977-12-30","0"
"1977-12-31","6.2"
"1977-12-31","0"
"1978-01-01","8.4"
"1978-01-01","0"
"1978-01-02","6"
"1978-01-02","0"
"1978-01-03","8.2"
"1978-01-03","0"
"1978-01-04","1"
"1978-01-04","0"
"1978-01-05","21.6"
"1978-01-05","0"
"1978-01-06","4"
"1978-01-06","0"
"1978-01-07","0"
"1978-01-07","0"
"1978-01-08","6.5"
"1978-01-08","0"
"1978-01-09","1.3"
"1978-01-09","0"
"1978-01-10","0"
"1978-01-10","0"
"1978-01-11","0"
"1978-01-11","0"
"1978-01-12","0.2"
"1978-01-12","0"
"1978-01-13","2.7"
"1978-01-13","0"
"1978-01-14","10.5"
