"date","value"
"1977-10-01","2.4"
"1977-10-02","0"
"1977-10-02","0"
"1977-10-03","0"
"1977-10-03","0"
"1977-10-04","0"
"1977-10-04","0"
"1977-10-05","0"
"1977-10-05","0"
"1977-10-06","0"
"1977-10-06","0"
"1977-10-07","0"
"1977-10-07","0"
"1977-10-08","0"
"1977-10-08","0"
"1977-10-09","0"
"1977-10-09","0"
"1977-10-10","0"
"1977-10-10","0"
"1977-10-11","4"
"1977-10-11","13.8"
"1977-10-12","0"
"1977-10-12","1.3"
"1977-10-13","1.4"
"1977-10-13","0"
"1977-10-14","3.3"
"1977-10-14","8.5"
"1977-10-15","0"
"1977-10-15","0.2"
"1977-10-16","0"
"1977-10-16","0"
"1977-10-17","0.2"
"1977-10-17","0.5"
"1977-10-18","0"
"1977-10-18","0.3"
"1977-10-19","0.1"
"1977-10-19","0.3"
"1977-10-20","0"
"1977-10-20","0"
"1977-10-21","0.7"
"1977-10-21","0"
"1977-10-22","0.2"
"1977-10-22","0.5"
"1977-10-23","0"
"1977-10-23","1"
"1977-10-24","0"
"1977-10-24","0.2"
"1977-10-25","0"
"1977-10-25","0"
"1977-10-26","0"
"1977-10-26","2.9"
"1977-10-27","0"
"1977-10-27","0"
"1977-10-28","0"
"1977-10-28","0"
"1977-10-29","0"
"1977-10-29","0"
"1977-10-30","4.6"
"1977-10-30","1.8"
"1977-10-31","1.9"
"1977-10-31","3"
"1977-11-01","0"
"1977-11-01","0"
"1977-11-02","0.5"
"1977-11-02","0"
"1977-11-03","3"
"1977-11-03","0"
"1977-11-04","0.2"
"1977-11-04","16.5"
"1977-11-05","0"
"1977-11-05","5.6"
"1977-11-06","2.5"
"1977-11-06","1"
"1977-11-07","4.6"
"1977-11-07","1.9"
"1977-11-08","6.9"
"1977-11-08","6"
"1977-11-09","6.5"
"1977-11-09","10"
"1977-11-10","2.5"
"1977-11-10","0.3"
"1977-11-11","0"
"1977-11-11","8.5"
"1977-11-12","8.8"
"1977-11-12","8.9"
"1977-11-13","1.6"
"1977-11-13","8.7"
"1977-11-14","2"
"1977-11-14","4"
"1977-11-15","0.2"
"1977-11-15","7.8"
"1977-11-16","1.7"
"1977-11-16","7.4"
"1977-11-17","0.2"
"1977-11-17","5.2"
"1977-11-18","0.3"
"1977-11-18","6.2"
"1977-11-19","0.3"
"1977-11-19","1.3"
"1977-11-20","0.4"
"1977-11-20","9.7"
"1977-11-21","1.5"
"1977-11-21","11.2"
"1977-11-22","0.5"
"1977-11-22","0"
"1977-11-23","0.1"
"1977-11-23","0"
"1977-11-24","0"
"1977-11-24","0"
"1977-11-25","0.2"
"1977-11-25","8.1"
"1977-11-26","0.3"
"1977-11-26","2.2"
"1977-11-27","0"
"1977-11-27","1"
"1977-11-28","0"
"1977-11-28","2"
"1977-11-29","3"
"1977-11-29","1.2"
"1977-11-30","0.1"
"1977-11-30","0"
"1977-12-01","0"
"1977-12-01","0"
"1977-12-02","3"
"1977-12-02","0"
"1977-12-03","0"
"1977-12-03","0"
"1977-12-04","0"
"1977-12-04","0"
"1977-12-05","0"
"1977-12-05","0"
"1977-12-06","0"
"1977-12-06","0"
"1977-12-07","1.3"
"1977-12-07","0"
"1977-12-08","6.1"
"1977-12-08","0"
"1977-12-09","27.5"
"1977-12-09","0"
"1977-12-10","8.2"
"1977-12-10","0"
"1977-12-11","12"
"1977-12-11","0"
"1977-12-12","5.5"
"1977-12-12","0"
"1977-12-13","3.4"
"1977-12-13","0"
"1977-12-14","1.3"
"1977-12-14","0"
"1977-12-15","5.7"
"1977-12-15","0"
"1977-12-16","0"
"1977-12-16","0"
"1977-12-17","0"
"1977-12-17","0"
"1977-12-18","0"
"1977-12-18","0"
"1977-12-19","0"
"1977-12-19","0"
"1977-12-20","0"
"1977-12-20","0"
"1977-12-21","0"
"1977-12-21","0"
"1977-12-22","0"
"1977-12-22","0"
"1977-12-23","8.2"
"1977-12-23","0"
"1977-12-24","0"
"1977-12-24","0"
"1977-12-25","0"
"1977-12-25","0"
"1977-12-26","0"
"1977-12-26","0"
"1977-12-27","9.2"
"1977-12-27","0"
"1977-12-28","2.4"
"1977-12-28","0"
"1977-12-29","0.1"
"1977-12-29","0"
"1977-12-30","3.5"
"1977-12-30","0"
"1977-12-31","1.9"
"1977-12-31","0"
"1978-01-01","0"
"1978-01-02","13.2"
"1978-01-02","0"
"1978-01-03","4.5"
"1978-01-03","0"
"1978-01-04","0.5"
"1978-01-04","0"
"1978-01-05","6.4"
"1978-01-05","0"
"1978-01-06","1.5"
"1978-01-06","0"
"1978-01-07","2.5"
"1978-01-07","0"
"1978-01-08","0"
"1978-01-08","0"
"1978-01-09","0.5"
"1978-01-09","4.1"
"1978-01-10","0"
"1978-01-10","0.2"
"1978-01-11","0.1"
"1978-01-11","1.9"
"1978-01-12","0"
"1978-01-13","1.3"
"1978-01-13","21.2"
"1978-01-14","0"
"1978-01-14","10.3"
"1978-01-15","0"
"1978-01-16","0"
"1978-01-16","3.2"
"1978-01-17","0.1"
"1978-01-17","3.5"
"1978-01-18","0"
"1978-01-18","0.5"
"1978-01-19","0"
"1978-01-19","0.2"
"1978-01-20","0.3"
"1978-01-20","3"
"1978-01-21","2"
"1978-01-21","0.1"
"1978-01-22","0"
"1978-01-22","5.5"
"1978-01-23","1.9"
"1978-01-23","7.7"
"1978-01-24","5.7"
"1978-01-24","0"
"1978-01-25","3.1"
"1978-01-25","3.3"
"1978-01-26","0"
"1978-01-26","0"
"1978-01-27","0"
"1978-01-27","0"
"1978-01-28","6"
"1978-01-28","4.2"
"1978-01-29","5.9"
"1978-01-29","3.1"
"1978-01-30","0.9"
"1978-01-31","0"
"1978-01-31","11"
"1978-02-01","0"
"1978-02-01","2.9"
"1978-02-02","6.7"
"1978-02-02","7.5"
"1978-02-03","0.2"
"1978-02-03","8"
"1978-02-04","5"
"1978-02-04","0"
"1978-02-05","0"
"1978-02-05","0"
"1978-02-06","0"
"1978-02-06","0"
"1978-02-07","0"
"1978-02-07","0"
"1978-02-08","0"
"1978-02-08","1.7"
"1978-02-09","0"
"1978-02-09","0"
"1978-02-10","1"
"1978-02-10","0"
"1978-05-01","0"
"1978-05-01","2.8"
"1978-05-02","2.2"
"1978-05-02","0"
"1978-05-03","0"
"1978-05-03","0"
"1978-05-04","0"
"1978-05-04","0"
"1978-05-05","0"
"1978-05-05","0.3"
"1978-05-06","0"
"1978-05-06","1.4"
"1978-05-07","0"
"1978-05-07","0"
"1978-05-08","0"
"1978-05-08","0"
"1978-05-09","0"
"1978-05-09","0"
"1978-05-10","0"
"1978-05-10","0"
"1978-05-11","0"
"1978-05-11","0"
"1978-05-12","0"
"1978-05-12","0"
"1978-05-13","0"
"1978-05-13","0"
"1978-05-14","0"
"1978-05-14","0"
"1978-05-15","0"
"1978-05-15","0"
"1978-05-16","0"
"1978-05-16","0"
"1978-05-17","0"
"1978-05-17","0"
"1978-05-18","0"
"1978-05-18","0"
"1978-05-19","0"
"1978-05-19","0"
"1978-05-20","0"
"1978-05-20","0"
"1978-05-21","0"
"1978-05-21","0"
"1978-05-22","0"
"1978-05-22","0"
"1978-05-23","0"
"1978-05-23","0"
"1978-05-24","0"
"1978-05-24","0"
"1978-05-25","0"
"1978-05-25","0"
"1978-05-26","0"
"1978-05-26","0.2"
"1978-05-27","0"
"1978-05-27","0"
"1978-05-28","0"
"1978-05-28","0"
"1978-05-29","0"
"1978-05-29","0"
"1978-05-30","0"
"1978-05-30","0"
"1978-05-31","0"
"1978-05-31","0"
"1978-06-01","0"
"1978-06-01","0"
"1978-06-02","0"
"1978-06-02","0"
"1978-06-03","0"
"1978-06-03","0"
"1978-06-04","0"
"1978-06-04","0"
"1978-06-05","0.4"
"1978-06-05","0"
"1978-06-06","0"
"1978-06-06","0"
"1978-06-07","0"
"1978-06-07","0"
"1978-06-08","0"
"1978-06-08","0"
"1978-06-09","0"
"1978-06-09","0"
"1978-06-10","0"
"1978-06-10","0"
"1978-06-11","0"
"1978-06-11","0"
"1978-06-12","0"
"1978-06-12","0"
"1978-06-13","0"
"1978-06-13","0"
"1978-06-14","0"
"1978-06-14","0"
"1978-06-15","0"
"1978-06-15","0"
"1978-06-16","0"
"1978-06-16","0"
"1978-06-17","0"
"1978-06-17","0"
"1978-06-18","0"
"1978-06-18","0"
"1978-06-19","0"
"1978-06-19","0"
"1978-06-20","2.4"
"1978-06-20","0"
"1978-06-21","0"
"1978-06-21","0.5"
"1978-06-22","5.3"
"1978-06-22","0.5"
"1978-06-23","0.1"
"1978-06-23","0"
"1978-06-24","0"
"1978-06-24","0"
"1978-06-25","0"
"1978-06-25","0"
"1978-06-26","0"
"1978-06-26","0"
"1978-06-27","0"
"1978-06-27","0"
"1978-06-28","0"
"1978-06-28","0"
"1978-06-29","0"
"1978-06-29","0"
"1978-06-30","0"
"1978-06-30","0"
"1978-07-01","0"
"1978-07-01","0"
"1978-07-02","0"
"1978-07-02","0"
"1978-07-03","0"
"1978-07-03","0"
"1978-07-04","0"
"1978-07-04","0"
"1978-07-05","0"
"1978-07-05","0"
"1978-07-06","0"
"1978-07-06","0"
"1978-07-07","9.1"
"1978-07-07","0"
"1978-07-08","0"
"1978-07-08","0"
"1978-07-09","0"
"1978-07-09","0"
"1978-07-10","0"
"1978-07-10","0"
"1978-07-11","0"
"1978-07-11","1"
"1978-07-12","0"
"1978-07-12","0"
"1978-07-13","0"
"1978-07-13","0"
"1978-07-14","0"
"1978-07-14","0"
"1978-07-15","0"
"1978-07-15","0"
"1978-07-16","0"
"1978-07-16","0"
"1978-07-17","0"
"1978-07-17","0"
"1978-07-18","0"
"1978-07-18","0"
"1978-07-19","0"
"1978-07-19","0"
"1978-07-20","0"
"1978-07-20","0"
"1978-07-21","0"
"1978-07-21","0"
"1978-07-22","0"
"1978-07-22","0"
"1978-07-23","0"
"1978-07-23","0"
