"date","value"
"1979-06-01","0"
"1979-06-01","0"
"1979-06-02","0"
"1979-06-02","0"
"1979-06-03","0"
"1979-06-03","0"
"1979-06-04","0"
"1979-06-04","0"
"1979-06-05","0"
"1979-06-05","0"
"1979-06-06","0"
"1979-06-06","0"
"1979-06-08","0"
"1979-06-08","0"
"1979-06-09","0"
"1979-06-09","0"
"1979-06-10","0"
"1979-06-10","0"
"1979-06-15","0"
"1979-06-15","0"
"1979-06-16","0"
"1979-06-16","0"
"1979-06-17","0"
"1979-06-17","0"
"1979-06-18","0"
"1979-06-18","0"
"1979-06-19","0"
"1979-06-19","0"
"1979-06-20","0"
"1979-06-20","0"
"1979-06-21","0"
"1979-06-21","0"
"1979-06-22","0"
"1979-06-22","0"
"1979-06-23","0"
"1979-06-23","0"
"1979-06-24","12"
"1979-06-24","0"
"1979-06-25","0"
"1979-06-25","0"
"1979-06-26","14"
"1979-06-26","0"
"1979-06-27","13"
"1979-06-27","0"
"1979-07-02","0"
"1979-07-02","0"
"1979-07-03","0"
"1979-07-03","0"
"1979-07-04","2.2"
"1979-07-04","0"
"1979-07-05","1.8"
"1979-07-05","0"
"1979-07-06","0"
"1979-07-06","0"
"1979-07-07","0"
"1979-07-07","0"
"1979-07-08","0"
"1979-07-08","0"
"1979-07-10","0"
"1979-07-10","0"
"1979-07-11","0"
"1979-07-11","0"
"1979-07-12","0"
"1979-07-12","0"
"1979-07-13","0"
"1979-07-13","0"
"1979-07-14","0"
"1979-07-14","0"
"1979-07-15","0"
"1979-07-15","0"
"1979-07-17","0"
"1979-07-17","0"
"1979-07-19","0"
"1979-07-19","0"
"1979-07-20","0"
"1979-07-20","0"
"1979-07-21","0"
"1979-07-21","0"
"1979-07-22","0"
"1979-07-22","0"
"1979-07-23","0"
"1979-07-23","0"
"1979-07-24","3"
"1979-07-24","0"
"1979-07-25","0"
"1979-07-25","0"
"1979-07-26","0"
"1979-07-26","0"
"1979-07-27","0"
"1979-07-27","0"
"1979-07-28","0"
"1979-07-28","0"
"1979-07-29","0"
"1979-07-29","0"
"1979-07-30","0"
"1979-07-30","0"
"1979-07-31","0"
"1979-07-31","0"
"1979-08-01","1.8"
"1979-08-01","0"
"1979-08-02","0"
"1979-08-02","0"
"1979-08-03","0"
"1979-08-03","0"
"1979-08-04","0"
"1979-08-04","0"
"1979-08-05","0"
"1979-08-05","0"
"1979-08-06","0"
"1979-08-06","0"
"1979-08-07","0"
"1979-08-07","0"
"1979-08-08","0"
"1979-08-08","0"
"1979-08-09","0"
"1979-08-09","0"
"1979-08-10","0"
"1979-08-10","0"
"1979-08-11","0"
"1979-08-11","0"
"1979-08-12","0"
"1979-08-12","0"
"1979-08-20","0"
"1979-08-20","0"
"1979-08-21","0"
"1979-08-21","0"
"1979-08-22","0"
"1979-08-22","0"
"1979-08-23","0"
"1979-08-23","0"
"1979-08-24","0"
"1979-08-24","0"
"1979-08-25","0"
"1979-08-25","0"
"1979-08-26","0"
"1979-08-26","0"
"1979-08-27","0"
"1979-08-27","0"
"1979-08-28","0"
"1979-08-28","0"
"1979-08-29","0"
"1979-08-29","0"
"1979-08-30","0"
"1979-08-30","0"
"1979-08-31","0"
"1979-08-31","0"
"1979-10-01","0"
"1979-10-01","0"
"1979-10-02","0"
"1979-10-02","0"
"1979-10-03","0"
"1979-10-03","0"
"1979-10-04","0.8"
"1979-10-04","0"
"1979-10-05","0"
"1979-10-05","0"
"1979-10-06","0"
"1979-10-06","0"
"1979-10-07","0"
"1979-10-07","0"
"1979-10-08","0"
"1979-10-08","0"
"1979-10-09","0.9"
"1979-10-09","0"
"1979-10-10","0"
"1979-10-10","0"
"1979-10-11","0"
"1979-10-11","0"
"1979-10-12","0"
"1979-10-12","0"
"1979-10-13","0"
"1979-10-13","0"
"1979-10-14","0"
"1979-10-14","0"
"1979-10-15","0"
"1979-10-15","0"
"1979-10-16","0"
"1979-10-16","0"
"1979-10-17","0"
"1979-10-17","0"
"1979-10-18","0"
"1979-10-18","0"
"1979-10-19","0"
"1979-10-19","0"
"1979-10-20","0"
"1979-10-20","0"
"1979-10-21","0"
"1979-10-21","0"
"1979-10-22","0"
"1979-10-22","0"
"1979-10-23","0"
"1979-10-23","0"
"1979-10-24","0"
"1979-10-24","0"
"1979-10-25","0"
"1979-10-25","0"
"1979-10-26","0"
"1979-10-26","0"
"1979-10-27","0"
"1979-10-27","0"
"1979-10-28","0"
"1979-10-28","0"
"1979-10-29","0"
"1979-10-29","0"
"1979-10-30","0"
"1979-10-30","0"
"1979-10-31","0"
"1979-10-31","0"
"1979-11-01","0"
"1979-11-01","0"
"1979-11-02","0"
"1979-11-02","0"
"1979-11-03","0"
"1979-11-03","0"
"1979-11-04","8"
"1979-11-04","0"
"1979-11-05","0"
"1979-11-05","0"
"1979-11-06","0"
"1979-11-06","0"
"1979-11-07","0"
"1979-11-07","0"
"1979-11-08","0"
"1979-11-08","0"
"1979-11-09","8"
"1979-11-09","0"
"1979-11-10","0"
"1979-11-10","0"
"1979-11-11","0"
"1979-11-11","0"
"1979-11-12","0"
"1979-11-12","0"
"1979-11-13","0"
"1979-11-13","0"
"1979-11-14","0"
"1979-11-14","0"
"1979-11-15","0"
"1979-11-15","0"
"1979-11-16","0"
"1979-11-16","0"
"1979-11-17","0"
"1979-11-17","0"
"1979-11-18","0"
"1979-11-18","0"
"1979-11-19","0"
"1979-11-19","0"
"1979-11-20","0"
"1979-11-20","0"
"1979-11-21","0"
"1979-11-21","0"
"1979-11-22","0"
"1979-11-22","0"
"1979-11-23","0"
"1979-11-23","0"
"1979-11-24","0"
"1979-11-24","0"
"1979-11-25","0"
"1979-11-25","0"
"1979-11-26","0"
"1979-11-26","0"
"1979-11-27","0"
"1979-11-27","0"
"1979-11-28","0"
"1979-11-28","0"
"1979-11-29","0"
"1979-11-29","0"
"1979-11-30","0"
"1979-11-30","0"
"1979-12-01","0"
"1979-12-01","0"
"1979-12-02","0"
"1979-12-02","0"
"1979-12-03","0"
"1979-12-03","0"
"1979-12-04","0"
"1979-12-04","0"
"1979-12-05","0"
"1979-12-05","0"
"1979-12-06","0"
"1979-12-06","0"
"1979-12-07","0.8"
"1979-12-07","0"
"1979-12-08","0"
"1979-12-08","0"
"1979-12-09","0"
"1979-12-09","0"
"1979-12-10","0"
"1979-12-10","0"
"1979-12-11","0"
"1979-12-11","0"
"1979-12-12","0"
"1979-12-12","0"
"1979-12-13","0"
"1979-12-13","0"
"1979-12-14","0"
"1979-12-14","0"
"1979-12-15","0"
"1979-12-15","0"
"1979-12-16","0"
"1979-12-16","0"
"1979-12-17","0"
"1979-12-17","0"
"1979-12-18","0"
"1979-12-18","0"
"1979-12-19","0"
"1979-12-19","0"
"1979-12-20","0"
"1979-12-20","0"
"1979-12-21","0"
"1979-12-21","0"
"1979-12-22","0.7"
"1979-12-22","0"
"1979-12-23","0.3"
"1979-12-23","0"
"1979-12-24","0"
"1979-12-24","0"
"1979-12-25","0"
"1979-12-25","0"
"1979-12-26","0"
"1979-12-26","0"
"1979-12-27","0"
"1979-12-27","0"
"1979-12-28","10.8"
"1979-12-28","0"
"1979-12-29","0.2"
"1979-12-29","0"
"1979-12-30","0.4"
"1979-12-30","0"
"1979-12-31","0.2"
"1979-12-31","0"
"1980-04-01","0"
"1980-04-01","0"
"1980-04-02","0"
"1980-04-02","0"
"1980-04-03","0"
"1980-04-03","0"
"1980-04-04","0"
"1980-04-04","0"
"1980-04-05","0"
"1980-04-05","0"
"1980-04-06","0"
"1980-04-06","0"
"1980-04-07","0"
"1980-04-07","0"
"1980-04-08","0"
"1980-04-08","0"
"1980-04-09","0"
"1980-04-09","0.9"
"1980-04-10","0.6"
"1980-04-10","0"
"1980-04-11","0"
"1980-04-11","0"
"1980-04-12","0"
"1980-04-12","0"
"1980-04-13","0"
"1980-04-13","0"
"1980-04-14","0"
"1980-04-14","0"
"1980-04-15","0"
"1980-04-15","0"
"1980-04-16","0.8"
"1980-04-16","0.3"
"1980-04-17","0.5"
