"date","value"
"1978-04-18","0"
"1978-04-18","0"
"1978-04-19","0"
"1978-04-19","0"
"1978-04-20","1.6"
"1978-04-20","0"
"1978-04-21","0"
"1978-04-21","1.6"
"1978-04-22","0"
"1978-04-22","0"
"1978-04-23","0"
"1978-04-23","0"
"1978-04-24","0"
"1978-04-24","0.1"
"1978-04-25","0"
"1978-04-25","0"
"1978-04-26","0"
"1978-04-26","0"
"1978-04-27","0"
"1978-04-27","0"
"1978-04-28","2.5"
"1978-04-28","1.5"
"1978-04-29","0"
"1978-04-29","0"
"1978-04-30","0"
"1978-04-30","0"
"1978-05-01","7"
"1978-05-01","0.5"
"1978-05-02","0"
"1978-05-02","0"
"1978-05-03","0"
"1978-05-03","0"
"1978-05-04","0"
"1978-05-04","0"
"1978-05-05","0"
"1978-05-05","0"
"1978-05-06","18"
"1978-05-06","0"
"1978-05-07","0.2"
"1978-05-07","4"
"1978-05-08","0"
"1978-05-08","0"
"1978-05-09","0"
"1978-05-09","0"
"1978-05-10","0"
"1978-05-10","0"
"1978-05-11","0"
"1978-05-11","0"
"1978-05-12","0"
"1978-05-12","0"
"1978-05-13","0"
"1978-05-13","0"
"1978-05-14","0"
"1978-05-14","0"
"1978-05-15","0"
"1978-05-15","0"
"1978-05-16","0"
"1978-05-16","0"
"1978-05-17","0"
"1978-05-17","0"
"1978-05-18","0"
"1978-05-18","0"
"1978-05-19","0"
"1978-05-19","0"
"1978-05-20","0"
"1978-05-20","0"
"1978-05-21","0"
"1978-05-21","0"
"1978-05-22","0"
"1978-05-22","0"
"1978-05-23","0"
"1978-05-23","0"
"1978-05-24","0"
"1978-05-24","1.9"
"1978-05-25","0"
"1978-05-25","0"
"1978-05-26","2.7"
"1978-05-26","0"
"1978-05-27","0"
"1978-05-27","0"
"1978-05-28","0"
"1978-05-28","0"
"1978-05-29","0"
"1978-05-29","0"
"1978-05-30","0"
"1978-05-30","0"
"1978-05-31","0"
"1978-05-31","0"
"1978-06-01","0"
"1978-06-01","0"
"1978-06-02","0"
"1978-06-02","0"
"1978-06-03","0"
"1978-06-03","0"
"1978-06-04","0"
"1978-06-04","0"
"1978-06-05","0"
"1978-06-05","0"
"1978-06-06","0"
"1978-06-06","0"
"1978-06-07","0"
"1978-06-07","0"
"1978-06-08","0"
"1978-06-08","0"
"1978-06-09","0"
"1978-06-09","0"
"1978-06-10","0"
"1978-06-10","0"
"1978-06-11","0"
"1978-06-11","0"
"1978-06-12","0"
